"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Galbor",9.64615384615385,4.87692307692308,26.3153846153846,0.82962962962963,0.530769230769231,74.6431818181818,213.317424272727,2.70708333333333,125.63546,55.5365384615385,112.572615384615,0.321323076923077,0.1,8322.56700307692,502.800462769231,1.637,44.125,1,49.8008333333333
"Gaucoc",16.925,11.15,12.45,0.4,0.325,77.84125,244.20125,3.28166666666667,121.941261333333,8.39,16.1509,0.51185,0.0205,722.753278,289.310345,NA,NA,NA,NA
"Gervis",39.6666666666667,33.1666666666667,46.1666666666667,63.1222222222222,1.23333333333333,254.515,205.142222333333,551.849444444444,118.890137988889,NA,175.043066666667,0.361666666666667,0.229666666666667,NA,NA,NA,NA,NA,NA
"Geuale",17.3,16.8,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geutri",16.0714285714286,10.3285714285714,27.9285714285714,21.4285714285714,0.464285714285714,86.2641666666667,332.263888833333,216.785,104.459766709524,447.513571428571,401.235528571429,0.529985714285714,0.692571428571429,817.832449,651.227949714286,1.26,44.1375,0.66,42.2475
"Glylep",30.4333333333333,19.5,25.2333333333333,NA,1.33333333333333,251.681666666667,213.011666666667,NA,NA,NA,18.7742,0.4988,0.037,NA,NA,NA,NA,NA,NA
"Hapspi",11,7.16666666666667,12,0.444444444444444,0.133333333333333,73.165,598.158333333333,4.80277777777778,91.5189038444444,20.505,91.4692333333333,0.253633333333333,0.0516666666666667,4940.80244333333,416.449119,NA,NA,NA,NA
"Hedalp",24.3833333333333,10.75,46.6,26.0555555555556,1.35,288.077,227.4238928,162.154166666667,159.892785722222,241.0125,160.663716666667,0.949633333333333,0.537833333333333,1663.47085135,447.4825765,3.00333333333333,46.35,1.59333333333333,43.67
"Helhoo",18.21,10.87,42.87,3.775,0.166666666666667,37.0672222222222,255.232407444444,27.1797916666667,157.0355184625,179.037,1009.1478,0.19581,0.3547,8161.700573,453.7727849,1.75,44.285,0.597142857142857,48.8214285714286
"Hescom",26.6181818181818,14.9181818181818,37.1909090909091,1.375,0.35,59.994,223.5135,9.64375,156.666017666667,118.250909090909,333.364009090909,0.310063636363636,0.264272727272727,4072.79188818182,380.337994818182,2.052,44.404,0.578,50.428
